Namespace;Namespace_loc_id;loc_id;loc_oms;loc_id_oms;Meetpunttype;Monitoringsoort.code;LigtInGeoobject.identificatie;HoortBijGeoobject.identificatie;waterlichaam;x1;y1;x2;y2;watertype;watertype_oms;Watergangcategorie;Watergangcategorie.code;Oever;NVO;Afvoergebiedcode;Afvoergebied_clustercode;wijzigingen_log;Opm_intern;Opm_dataleverancier;Foto_id;Aanmaakdatum;Fysische chemie;Meetnet Kader Richtlijn Water (KRW, FC);Meetnet Agrarisch en Stedelijk gebied (FC);Agrarisch & Stedelijk Roulatiejaar 1 (FC);Agrarisch & Stedelijk Roulatiejaar 2 (FC);Agrarisch & Stedelijk Roulatiejaar 3 (FC);Meetnet waterkwaliteit hoofdwater (FC);Meetnet Nutrienten Landbouw Specifiek Oppervlaktewater (MNLSO, FC);Calamiteiten Meetnet Nucleaire Ongevallen (CMNO, FC);Meetnet gewasbeschermingsmiddelen (FC);Landelijk Meetnet GewasBeschermingsMiddelen (LMGBM, FC);Meetnet zwemwater (FC);Meetnet hygienische waterkwaliteit (FC);Roulerend meetnet 2006 -2019 (FC);Centraal stadsdeel (FC);Groenraven Oost - Maartensdijk (FC);Kromme Rijn - Honswijk (FC);Langbroekerwetering (FC);Lopikerwaard (FC);Oude Rijn (FC);Projecten (FC);Lange weide (FC);Online waterkwaliteit Batau (FC);Onderwaterdrainage De Vlist (FC);Natuurgebieden (FC);Overige projecten (FC);Afgerond (FC);Historische meetpunten (< 2000) waarvan doel onbekend (FC);Biologie;Meetnet Kader Richtlijn Water (KRW, BIO);NL14_01 Langbroekerwetering (BIO);NL14_02 Kromme Rijn (BIO);NL14_03 Westerlaak (BIO);NL14_04 Honswijk (BIO);NL14_05 Biltse Grift (BIO);NL14_06 Ravense Wetering (BIO);NL14_07 Merwedekanaal (BIO);NL14_08 Binnenstad Utrecht (BIO);NL14_09 Maartensdijk (BIO);NL14_10 Hollandse IJssel (BIO);NL14_11 De Keulevaart (BIO);NL14_12 De Pleijt (BIO);NL14_13 De Koekoek (BIO);NL14_15 Bijleveld (BIO);NL14_16 Leidsche Rijn (BIO);NL14_18 Galecop (BIO);NL14_19 Gerverscop (BIO);NL14_20 De Tol (BIO);NL14_21 Ouwenaar - Haarrijn (BIO);NL14_22 Wiericke's (BIO);NL14_23 Snelrewaard (BIO);NL14_24 Lange Linschoten (BIO);NL14_25 Montfoortse Vaart (BIO);NL14_26 Meijepolder (BIO);NL14_27 Oude Rijn (BIO);NL14_28 Zegveld (BIO);NL14_29 Grecht (BIO);NL14_30 Kockengen (BIO);NL14_31 Kamerik Teijlingens (BIO);NL14_32 Houtensewetering (BIO);NL14_33 Oud Kamerik (BIO);Meetnet Agrarisch en Stedelijk gebied (BIO);Agrarisch & Stedelijk Roulatiejaar 1 (BIO);Agrarisch & Stedelijk Roulatiejaar 2 (BIO);Agrarisch & Stedelijk Roulatiejaar 3 (BIO);Meetnet Macrofauna (BIO);Meetnet Natuurvriendelijke oevers (BIO);Meetnet Beschermde flora en fauna (wetNB, BIO);Meetnet Stadswateren (Ecoscans, BIO);Roulerend meetnet 2006 -2019 (BIO);Centraal stadsdeel (BIO);Groenraven Oost - Maartensdijk (BIO);Kromme Rijn - Honswijk (BIO);Langbroekerwetering (BIO);Lopikerwaard (BIO);Oude Rijn (BIO);Roulerend - buiten gebruik (BIO);Projecten (BIO);Groen Blauwe Diensten (BIO);Overig water (BIO);Effectmonitoring maaibeheer (BIO);Nevengeul en vlechtschermen bij Odijk (BIO);Lange weide (BIO);Natuurgebieden (BIO);Overige projecten (BIO);Afgerond (BIO);KRW waterlichamen;Overige waterbeheerders
NL14;NL14_01;01;Langbroekerwetering;01 Langbroekerwetering;;;;NL14_20007;;145222;451426;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
NL14;NL14_01_01;01_01;Langbroekerwetering laatste brug (NL14_01 01 = a10);01_01 Langbroekerwetering laatste brug (NL14_01 01 = a10);;;;;NL14_01;145230;451430;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_01.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_02;01_02;Ten westen van instroom RWZI Driebergen;01_02 Ten westen van instroom RWZI Driebergen;;;;NL14_20007;NL14_01;145879;450588;;;M1a;Zoete gebufferde sloten;;;NO;Nee;;;;;;NL14_01_02.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_03;01_03;Langbroekerwetering ter hoogte van kruising Zwarteweg NL14_01 03 = ab14;01_03 Langbroekerwetering ter hoogte van kruising Zwarteweg NL14_01 03 = ab14;;;;;NL14_01;147550;448677;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_03.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_04;01_04;Bij houten beschoeiing huizen;01_04 Bij houten beschoeiing huizen;;;;;NL14_01;149600;447500;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_04.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_05;01_05;Ten westen van Rodensteijnse laan;01_05 Ten westen van Rodensteijnse laan;;;;NL14_20007;NL14_01;150099;447298;;;M1a;Zoete gebufferde sloten;;;Z;Nee;;;;;;NL14_01_05.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_06;01_06;Cothergrift (ab23);01_06 Cothergrift (ab23);;;;NL14_20007;NL14_01;150486;446478;;;M1a;Zoete gebufferde sloten;;;NW;Plasberm;;;;;;NL14_01_06.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_07;01_07;Verbindingssloot Gooyerwetering;01_07 Verbindingssloot Gooyerwetering;;;;NL14_20007;NL14_01;152111;447887;;;M1a;Zoete gebufferde sloten;;;beide zijden;Nee;;;;NO oever is beschoeid;;NL14_01_07.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_08;01_08;Gooyerwetering (ab05);01_08 Gooyerwetering (ab05);;;;NL14_20007;NL14_01;154603;445984;;;M1a;Zoete gebufferde sloten;;;beide zijden;Nee;;;;;;NL14_01_08.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_09;01_09;Hoek Melkweg en Gooyerwetering;01_09 Hoek Melkweg en Gooyerwetering;;;;;NL14_01;153885;446460;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_09.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_10;01_10;Amerongerwetering bij Immenhof;01_10 Amerongerwetering bij Immenhof;;;;;NL14_01;156780;445234;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_10.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_10_oud;01_10_oud;Amerongerwetering bij Immenhof oud;01_10_oud Amerongerwetering bij Immenhof oud;;;;;NL14_01;156700;445400;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_10_oud.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_11;01_11;Amerongerwetering bij huisnr 30;01_11 Amerongerwetering bij huisnr 30;;;;NL14_20007;NL14_01;156171;444688;;;M1a;Zoete gebufferde sloten;;;beide zijden;Nee;;;;;;NL14_01_11.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_12;01_12;Amerongerwetering bij huisnr 50;01_12 Amerongerwetering bij huisnr 50;;;;NL14_20007;NL14_01;153913;444107;;;M1a;Zoete gebufferde sloten;;;beide zijden;Nee;;;;;;NL14_01_12.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_13;01_13;Langbroekerwetering langs Nieuweweg NL14_01 13 = a33;01_13 Langbroekerwetering langs Nieuweweg NL14_01 13 = a33;;;;;NL14_01;152653;443787;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_13.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_14;01_14;Melkwetering (a73);01_14 Melkwetering (a73);;;;NL14_20007;NL14_01;152265;444364;;;M1a;Zoete gebufferde sloten;;;beide zijden;Nee;;;;;;NL14_01_14.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_15;01_15;ter hoogte van Langbroekerdijk 12 (ab57);01_15 ter hoogte van Langbroekerdijk 12 (ab57);;;;NL14_20007;NL14_01;155694;444647;;;M1a;Zoete gebufferde sloten;;;beide zijden;Nee;;;;;;NL14_01_15.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
