FewsId;par_oms;par_oms_nl;TaxonType;wns_code;wns_oms;wns_oms_ecolims;eenheid;eenheid_oms
AANTPVLME[n/ml];Entomoneis;;DIATM;HDSR104;DIATM_ENTO[n/ml][NVT][OW];Entomoneis[n/ml][NVT][OW];n/ml;exemplaren per milliliter
AANTL[n];Encyonopsis krammeri;;DIATM;HDSR105;DIATM_ENYOKRAM[n][NVT][OW];Encyonopsis krammeri[n][NVT][OW];n;exemplaren
AANTL[n];Anodonta;;MACEV;HDSR1031;MACEV_ANOD[n][NVT][OW];Anodonta[n][NVT][OW];n;exemplaren
AANTL[n];Anodonta anatina;;MACEV;HDSR1033;MACEV_ANODANAT[n][LS-JU][OW];Anodonta anatina[n][LS-JU][OW];n;exemplaren
AANTL[n];Anodonta cygnea;Zwanenmossel;MACEV;HDSR1037;MACEV_ANODCYGN[n][NVT][OW];Anodonta cygnea[n][NVT][OW];n;exemplaren
AANTL[n];Anopheles;;MACEV;HDSR1038;MACEV_ANOP[n][LS-JU][OW];Anopheles[n][LS-JU][OW];n;exemplaren
AANTL[n];Anopheles;;MACEV;HDSR1041;MACEV_ANOP[n][NVT][OW];Anopheles[n][NVT][OW];n;exemplaren
AANTL[n];Anopheles maculipennis;;MACEV;HDSR1042;MACEV_ANOPMACU[n][LS-LA][OW];Anopheles maculipennis[n][LS-LA][OW];n;exemplaren
AANTL[n];Anisoptera;;MACEV;HDSR1045;MACEV_ANSO[n][LS-JU][OW];Anisoptera[n][LS-JU][OW];n;exemplaren
AANTL[n];Anisus leucostoma;;MACEV;HDSR1047;MACEV_ANSULEUC[n][LS-AD][OW];Anisus leucostoma[n][LS-AD][OW];n;exemplaren
AANTL[n];Anisus vorticulus;Platte schijfhoren;MACEV;HDSR1051;MACEV_ANSUVOTI[n][LS-AD][OW];Anisus vorticulus[n][LS-AD][OW];n;exemplaren
