FC_BIO;Parameter_Code;EnumerationId;FewsName;Typering;Grootheid;PAR_Code;PAR_Omschrijving;Groep;FewsParGroup;unit;unit_export;Eenheid_oms;Hoedanigheid;Compartiment;CASnummer;WNS_Code;WNS_Omschrijving;WnsId;allow_missing;type;value_resolution;H_MIN;S_MIN;S_MAX;H_MAX;reden_S_MAX;min_oude_EFCIS;max_oude_EFCIS;bio_wf_fyto;bio_wf_mafa;bio_wf_mafy;bio_wf_vis;fc_wf_zwem;regelNr
BIO;AANTL[DIMSLS];;Aantal[DIMSLS];;;AANTL;Aantal;Grootheid;7. Niet bemeten;DIMSLS;DIMSLS;dimensieloos;;;NVT;;;;TRUE;instantaneous;;;;;;;;;;;;;;2219
BIO;AANTL[ml];;Aantal[ml];;;AANTL;Aantal;;7. Niet bemeten;ml;ml;milliliter;;;NVT;;;;TRUE;instantaneous;;;;;;;;;;;;;;2225
BIO;AANTL[n];;Aantal[n];;;AANTL;Aantal;Grootheid;7. Niet bemeten;n;n;exemplaren;;;NVT;;;;TRUE;instantaneous;;;;;;;;;;1;;1;;2226
BIO;AANTPVLME[n/l];;Aantal per volume[n/l];;;AANTPVLME;Aantal per volume;Grootheid;7. Niet bemeten;n/l;n/l;exemplaren per liter;;;NVT;;;;TRUE;instantaneous;;;;;;;;;;;;;;2213
BIO;AANTPVLME[n/ml];;Aantal per volume[n/ml];;;AANTPVLME;Aantal per volume;Grootheid;3. Biologisch;n/ml;n/ml;exemplaren per milliliter;;;NVT;;;;TRUE;instantaneous;;;;;;;;;1;;;;;2215
BIO;BEDKG[%];;Bedekking[%];;;BEDKG;Bedekking;Grootheid;3. Biologisch;%;%;procent;;;NVT;;;;TRUE;instantaneous;;;;;;;;;;;1;;;2936
BIO;HYBDVS[kg/ha];;Hybride vis[kg/ha];;;HYBDVS;Hybride vis;Object;7. Niet bemeten;kg/ha;kg/ha;kilogram per hectare;;;NVT;;;;TRUE;instantaneous;;;;;;;;;;;;;;6637
BIO;HYBDVS[n];;Hybride vis[n];;;HYBDVS;Hybride vis;Object;3. Biologisch;n;n;exemplaren;;;NVT;;;;TRUE;instantaneous;;;;;;;;;;;;1;;6639
BIO;Ebeo_Bel[DIMSLS];;Ebeostad Deeltoets 1 Beleving[DIMSLS];;;Ebeo_Bel;Ebeostad Deeltoets 1 Beleving;;4. Toetsresultaten (per jaar);DIMSLS;DIMSLS;dimensieloos;;;;;;;TRUE;instantaneous;;;;;;;;;;;;;;5177
BIO;Ebeo_Oev[DIMSLS];;Ebeostad Deeltoets 1 Oever[DIMSLS];;;Ebeo_Oev;Ebeostad Deeltoets 1 Oever;;4. Toetsresultaten (per jaar);DIMSLS;DIMSLS;dimensieloos;;;;;;;TRUE;instantaneous;;;;;;;;;;;;;;5178
