fewsid;Id;Omschrijving;Groep;Cijfercode;Begin geldigheid;Eind geldigheid
1;31;Akkermanboor;Bodembemonstering;42;10 juni 2011 00:00:00;1 januari 2100 00:00:00
2;50;Akoestische zandtransportmeter;Bodembemonstering;43;10 juni 2011 00:00:00;1 januari 2100 00:00:00
3;98;Ankerkuil;Ecologische bemonstering;98;12 mei 2018 00:00:00;1 januari 2100 00:00:00
4;14;Aqualock;Bodembemonstering;83;10 juni 2011 00:00:00;1 januari 2100 00:00:00
5;93;Atoomkuil;Ecologische bemonstering;97;20 mei 2017 00:00:00;1 januari 2100 00:00:00
6;51;Automatisch monstername apparaat;Waterbemonstering;71;10 juni 2011 00:00:00;1 januari 2100 00:00:00
7;15;Avegaarboor;Bodembemonstering;54;10 juni 2011 00:00:00;1 januari 2100 00:00:00
8;16;Beeker-sampler;Bodembemonstering;12;10 juni 2011 00:00:00;1 januari 2100 00:00:00
9;17;Begeman-sampler;Bodembemonstering;44;10 juni 2011 00:00:00;1 januari 2100 00:00:00
10;52;Bodemschaaf;Bodembemonstering;45;10 juni 2011 00:00:00;1 januari 2100 00:00:00
11;53;Boomkor;Ecologische bemonstering;55;10 juni 2011 00:00:00;1 januari 2100 00:00:00
12;18;Box-corer;Bodembemonstering;46;10 juni 2011 00:00:00;1 januari 2100 00:00:00
13;82;Cilindrisch monsternemingstoestel;Waterbemonstering;32;10 juli 2019 00:00:00;1 januari 2100 00:00:00
14;19;Continuous soil sampler;Bodembemonstering;72;1 juli 2013 00:00:00;1 januari 2100 00:00:00
15;54;Dompelpomp;Waterbemonstering;35;10 juni 2011 00:00:00;1 januari 2100 00:00:00
16;55;Doorstroomcentrifuge;Waterbemonstering;85;24 mei 2012 00:00:00;1 januari 2100 00:00:00
17;20;Drukkend boorsysteem;Bodembemonstering;73;10 juni 2011 00:00:00;1 januari 2100 00:00:00
18;21;Eckman-Birge happer;Bodembemonstering;41;10 juni 2011 00:00:00;1 januari 2100 00:00:00
19;1;Edelmanboor;Bodembemonstering;20;10 juni 2011 00:00:00;1 januari 2100 00:00:00
20;56;Elektrisch schepnet;Ecologische bemonstering;56;10 juni 2011 00:00:00;1 januari 2100 00:00:00
21;84;Elektrisch schepnet met keernetten;Ecologische bemonstering;88;5 maart 2015 00:00:00;1 januari 2100 00:00:00
22;89;Elektrostramienkor;Ecologische bemonstering;93;16 januari 2016 00:00:00;1 januari 2100 00:00:00
23;57;Emmer;Waterbemonstering;33;10 juni 2011 00:00:00;1 januari 2100 00:00:00
24;58;Flushing sampler;Waterbemonstering;67;10 juni 2011 00:00:00;1 januari 2100 00:00:00
25;22;Foliesteektoestel;Bodembemonstering;74;10 juni 2011 00:00:00;1 januari 2100 00:00:00
26;59;Fuik;Ecologische bemonstering;57;10 juni 2011 00:00:00;1 januari 2100 00:00:00
27;103;Geoprobe;Bodembemonstering;103;26 oktober 2018 00:00:00;1 januari 2100 00:00:00
28;99;Graafmachine;Bodembemonstering;99;26 oktober 2018 00:00:00;1 januari 2100 00:00:00
29;23;Grindboor;Bodembemonstering;24;10 juni 2011 00:00:00;1 januari 2100 00:00:00
30;12;Gutsboor;Bodembemonstering;31;10 juni 2011 00:00:00;1 januari 2100 00:00:00
31;24;Hamerend boorsysteem;Bodembemonstering;75;10 juni 2011 00:00:00;1 januari 2100 00:00:00
32;91;Hamon happer;Bodembemonstering;95;3 november 2016 00:00:00;1 januari 2100 00:00:00
33;60;Handnet;Ecologische bemonstering;58;10 juni 2011 00:00:00;1 januari 2100 00:00:00
34;25;Handpuls;Bodembemonstering;76;10 juni 2011 00:00:00;1 januari 2100 00:00:00
35;26;Holle avegaar;Bodembemonstering;77;10 juni 2011 00:00:00;1 januari 2100 00:00:00
36;27;Jenkins-mudsampler;Bodembemonstering;78;10 juni 2011 00:00:00;1 januari 2100 00:00:00
37;28;Kernboor;Bodembemonstering;79;10 juni 2011 00:00:00;1 januari 2100 00:00:00
38;61;Korf;Ecologische bemonstering;59;10 juni 2011 00:00:00;1 januari 2100 00:00:00
39;62;Kuil;Ecologische bemonstering;60;10 juni 2011 00:00:00;1 januari 2100 00:00:00
40;104;Maatbeker;Waterbemonstering;104;11 mei 2019 00:00:00;1 januari 2100 00:00:00
41;63;Modderpuls;Bodembemonstering;47;10 juni 2011 00:00:00;1 januari 2100 00:00:00
42;64;Mosselkorf;Ecologische bemonstering;61;10 juni 2011 00:00:00;1 januari 2100 00:00:00
43;29;Mostap;Bodembemonstering;80;10 juni 2011 00:00:00;1 januari 2100 00:00:00
44;30;Multi-sampler;Bodembemonstering;48;10 juni 2011 00:00:00;1 januari 2100 00:00:00
45;65;Pelagic trawl;Ecologische bemonstering;62;10 juni 2011 00:00:00;1 januari 2100 00:00:00
46;105;Peristaltische pomp;Waterbemonstering;105;30 oktober 2019 00:00:00;1 januari 2100 00:00:00
47;66;Piston-corer;Bodembemonstering;13;10 juni 2011 00:00:00;1 januari 2100 00:00:00
48;67;Planktonnet;Ecologische bemonstering;63;10 juni 2011 00:00:00;1 januari 2100 00:00:00
49;68;Poliepgrijper;Bodembemonstering;49;10 juni 2011 00:00:00;1 januari 2100 00:00:00
50;69;Pollepel;Waterbemonstering;69;10 juni 2011 00:00:00;1 januari 2100 00:00:00
51;70;Pomp;Waterbemonstering;68;10 juni 2011 00:00:00;1 januari 2100 00:00:00
52;7;Puinboor;Bodembemonstering;87;13 september 2014 00:00:00;1 januari 2100 00:00:00
53;32;Pulsboor;Bodembemonstering;26;10 juni 2011 00:00:00;1 januari 2100 00:00:00
54;10;Ramguts;Bodembemonstering;27;10 juni 2011 00:00:00;1 januari 2100 00:00:00
55;2;Riversideboor;Bodembemonstering;25;10 juni 2011 00:00:00;1 januari 2100 00:00:00
56;71;Roset sampler;Waterbemonstering;70;10 juni 2011 00:00:00;1 januari 2100 00:00:00
57;100;Schep;Bodembemonstering;100;26 oktober 2018 00:00:00;1 januari 2100 00:00:00
58;72;Schietfuik;Ecologische bemonstering;64;10 juni 2011 00:00:00;1 januari 2100 00:00:00
59;73;Sedimentval;Bodembemonstering;50;10 juni 2011 00:00:00;1 januari 2100 00:00:00
60;74;Siliconen rubber passive sampler;Waterbemonstering;84;24 april 2012 00:00:00;1 januari 2100 00:00:00
61;75;Slib sampler;Bodembemonstering;51;10 juni 2011 00:00:00;1 januari 2100 00:00:00
62;76;Snoeischaar;Ecologische bemonstering;65;10 juni 2011 00:00:00;1 januari 2100 00:00:00
63;77;Sondeerapparaat;Bodembemonstering;28;10 juni 2011 00:00:00;1 januari 2100 00:00:00
64;33;Sonisch boorsysteem;Bodembemonstering;81;10 juni 2011 00:00:00;1 januari 2100 00:00:00
65;78;Speeddisk passive sampler;Waterbemonstering;86;15 december 2012 00:00:00;1 januari 2100 00:00:00
66;79;Spiraal;Bodembemonstering;23;10 juni 2011 00:00:00;1 januari 2100 00:00:00
67;34;Spitsmuisboor;Bodembemonstering;29;10 juni 2011 00:00:00;1 januari 2100 00:00:00
68;80;Steekbuis;Bodembemonstering;34;10 juni 2011 00:00:00;1 januari 2100 00:00:00
69;13;Steektoestel zonder folie;Bodembemonstering;53;10 juni 2011 00:00:00;1 januari 2100 00:00:00
70;85;Stortkuil;Ecologische bemonstering;89;5 maart 2015 00:00:00;1 januari 2100 00:00:00
71;106;Telescopische stok met flessenhouder;Waterbemonstering;106;4 februari 2020 00:00:00;1 januari 2100 00:00:00
72;81;Vacuümpomp;Waterbemonstering;36;10 juni 2011 00:00:00;1 januari 2100 00:00:00
73;35;Valbom;Bodembemonstering;14;10 juni 2011 00:00:00;1 januari 2100 00:00:00
74;37;Van Veenhapper;Bodembemonstering;15;10 juni 2011 00:00:00;1 januari 2100 00:00:00
75;36;Van der Horst-steektoestel;Bodembemonstering;82;10 juni 2011 00:00:00;1 januari 2100 00:00:00
76;38;Veenboor;Bodembemonstering;18;10 juni 2011 00:00:00;1 januari 2100 00:00:00
77;102;Veenguts;Bodembemonstering;102;26 oktober 2018 00:00:00;1 januari 2100 00:00:00
78;39;Vibro-corer;Bodembemonstering;16;10 juni 2011 00:00:00;1 januari 2100 00:00:00
79;92;Videocamera;Ecologische bemonstering;96;8 december 2016 00:00:00;1 januari 2100 00:00:00
80;40;Vrijwitboor;Bodembemonstering;52;10 juni 2011 00:00:00;1 januari 2100 00:00:00
81;83;Werpkorf;Ecologische bemonstering;66;10 juni 2011 00:00:00;1 januari 2100 00:00:00
82;86;Wonderkuil;Ecologische bemonstering;90;5 maart 2015 00:00:00;1 januari 2100 00:00:00
83;101;Wortelboor;Bodembemonstering;101;26 oktober 2018 00:00:00;1 januari 2100 00:00:00
84;87;Zegen;Ecologische bemonstering;91;5 maart 2015 00:00:00;1 januari 2100 00:00:00
