fewsid;Code;Omschrijving;Groep
1;1;1;duplicates
2;2;2;duplicates
3;3;3;duplicates
4;4;4;duplicates
5;5;5;duplicates
6;6;6;duplicates
7;7;7;duplicates
8;8;8;duplicates
9;9;9;duplicates
10;10;10;duplicates
11;11;11;duplicates
12;12;12;duplicates
13;13;13;duplicates
14;14;14;duplicates
15;15;15;duplicates
16;16;16;duplicates
17;17;17;duplicates
18;18;18;duplicates
19;19;19;duplicates
20;20;20;duplicates
21;21;21;duplicates
22;22;22;duplicates
23;23;23;duplicates
24;24;24;duplicates
25;25;25;duplicates
