;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid";Gerelateerd
Id-5b2c241e-7421-493c-8ee6-208c087077d6;B;Beaufort;;;Overig;162;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-63e28810-4cda-464b-8202-dfc7ec5863bf;oD;"Duitse graad";;;Overig;9;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";Id-cf691e5d-0c26-4d68-a02a-51b9fa6351c0
Id-8695ec38-0215-4388-a98f-ea13911cef2d;EBC;"European Brewery Convention Turbidity Unit";;;Overig;286;"19 oktober 2013 00:00:00";"1 januari 2100 00:00:00";
Id-d4ba5e5d-5c87-45a1-8473-66f53b304a29;FNU;"Formazine Nephelometric Unit";;;Overig;287;"19 oktober 2013 00:00:00";"1 januari 2100 00:00:00";
Id-aeeb572f-5931-44a7-9b35-df521370308d;FTU;"Formazine Turbidity Unit";;;Overig;179;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-5a32694e-4f3c-44a2-8873-81398d7a68b5;oF;"Franse graad";;;Overig;358;"6 november 2020";"1 januari 2100";
Id-79f86c5a-f639-43d8-a592-7f8c873074b3;JTU;"Jackson Turbidity Unit";;;Overig;195;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-776ce270-bd9d-45c8-9901-e58f246e5016;phi;"Krumbein phi";L;;"SI afgeleide eenheid";341;"8 augustus 2018 00:00:00";"1 januari 2100 00:00:00";
Id-dd435e8d-3679-4478-b061-c04ff071c250;NTU;"Nephelometric Turbidity Unit";;;Overig;258;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-d3af0fd9-75e3-452e-9952-73e09bbac179;TU;"Toxic Unit";;;Overig;266;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";Id-235bab07-edbb-43f5-9d60-e3fdc6dd50f5
Id-71304c15-606e-4332-8612-bc88ecd5f355;A;ampère;I;1;"SI grondeenheid";161;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-85b7daa8-b0b7-45c0-8323-7bad7dc315c7;bar;bar;M/LT2;100000;"SI niet-SI-eenheid";163;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";Id-ca65e689-3bcc-47a6-aac3-ab8a6142d3cd
Id-b6c1dab2-0f4c-40f9-86dd-e6b7c46b0abb;Bq/kg;"becquerel per kilogram";/MT;1;"SI afgeleide eenheid";164;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-de7f0cc9-737d-4a14-85e6-784e7dfce98f;Bq/m3;"becquerel per kubieke meter";/L3T;1;"SI afgeleide eenheid";165;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-fdab2e40-0094-4d38-9d63-b7c40e47a9a3;Bq/l;"becquerel per liter";/L3T;1000;"SI afgeleide eenheid";342;"22 februari 2019 00:00:00";"1 januari 2100 00:00:00";
Id-37a8db8a-3f1d-4cb2-a930-1cc78811ce70;cd;candela;J;1;"SI afgeleide eenheid";282;"9 februari 2013 00:00:00";"1 januari 2100 00:00:00";Id-895601f5-8298-4807-8e14-078f2053e60f
Id-32cb6dd8-cc7c-4431-8dd1-de56bc387a3c;cd/m2;"candela per vierkante meter";J/L2;1;"SI afgeleide eenheid";283;"9 februari 2013 00:00:00";"1 januari 2100 00:00:00";
Id-8868d1ec-de2d-4d53-b670-343e927b3680;coC;"centigraad Celsius";O;0.01;"SI afgeleide eenheid";169;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-8adef82e-89be-4b08-bc91-d9ff37cbf72f;cm;centimeter;L;0.01;"SI afgeleide eenheid";19;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-fed76a67-bc3d-41d8-b28a-a70e00ff9bf1;cm/s;"centimeter per seconde";L/T;0.01;"SI afgeleide eenheid";166;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-19cb7ff8-1760-4c62-85d5-9f2c60beaa81;cs;centiseconde;T;0.01;"SI afgeleide eenheid";170;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-2cdbe6e2-3881-4ded-a178-09e1ffbaad47;d;dag;T;86400;"SI niet-SI-eenheid";171;"1 december 2020";"1 januari 2100";
Id-12348f62-796f-452f-a7df-6c7bc60a7d05;dbar;decibar;M/LT2;10000;"SI niet-SI-eenheid";173;"27 september 2011 00:00:00";"1 januari 2100 00:00:00";
Id-66e2d974-2835-4fa5-b668-4419a7411665;dB;decibel;;;Overig;172;"27 september 2011 00:00:00";"1 januari 2100 00:00:00";
Id-fee09cb8-8b83-4e35-bf50-52960abb1a8d;doC;"decigraad Celsius";O;0.1;"SI afgeleide eenheid";177;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-60618647-30a1-4f96-9f08-ff26e44af2bf;dl;deciliter;L3;1e-04;"SI niet-SI-eenheid";363;"17 maart 2021";"1 januari 2100";
Id-3d946545-0b93-40d6-8f18-2c1d2cfabc60;dm;decimeter;L;0.1;"SI afgeleide eenheid";174;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-cd1c79d5-18e1-4822-b371-2da5c58485b6;dm/s;"decimeter per seconde";L/T;0.1;"SI afgeleide eenheid";175;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-d79924f2-8b68-44e4-a50e-4a5be830b8ca;ds;deciseconde;T;0.1;"SI afgeleide eenheid";178;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-a25c25ec-89c3-47c2-81e0-278ac1f26aed;DIMSLS;dimensieloos;;;Overig;119;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-221f84e7-9fca-40f5-9eb8-f33b7bcd408c;n;exemplaren;X;1;Aantal;116;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-d052dbfa-f2f3-4422-9777-f6d54bfb1f87;n/dl;"exemplaren per deciliter";X/L3;10000;Aantal;244;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-8ab4a4c8-6d8d-4952-99cb-287bea310f04;n/g;"exemplaren per gram";X/M;1000;Aantal;245;"26 mei 2012 00:00:00";"1 januari 2100 00:00:00";
Id-c3e9fb11-f8fe-4cf5-bd47-5ef6db1e0448;n/ha;"exemplaren per hectare";X/L2;0.0001;Aantal;246;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-a7a5cfa8-3f06-43fc-82a6-190699f804cf;n/hm;"exemplaren per hectometer";X/L;0.01;Aantal;323;"3 oktober 2015 00:00:00";"1 januari 2100 00:00:00";
Id-437882d7-e01a-4f2a-9bc2-f329aebec91e;n/km;"exemplaren per kilometer";X/L;0.001;Aantal;247;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-b8145827-ee19-4bdb-800d-5e6567f9b6df;n/m3;"exemplaren per kubieke meter";X/L3;1;Aantal;328;"7 november 2015 00:00:00";"1 januari 2100 00:00:00";
Id-851db590-3a68-4845-8104-50bc2f3bc7cc;n/l;"exemplaren per liter";X/L3;1000;Aantal;249;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-8a182a2f-2805-4064-9a01-0b0b194cfc96;n/m;"exemplaren per meter";X/L;1;Aantal;250;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-c7e7634f-0891-4c74-864f-f78ecbe3b246;n/mg;"exemplaren per milligram";X/M;1000000;Aantal;252;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-cc140caf-4a2e-4097-ae0b-026e7b5b5c8e;n/ml;"exemplaren per milliliter";X/L3;1000000;Aantal;254;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-b1965ba3-613c-429d-9c44-4a458b21b75e;n/min;"exemplaren per minuut";X/T;0.01666667;Aantal;253;"11 september 2020";"1 januari 2100";
Id-8a497905-db3b-49f6-9ae3-58bba966473a;n/km2;"exemplaren per vierkante kilometer";X/L2;0.000001;Aantal;248;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-9474dfe3-51af-4ec2-88de-10e58a018fdc;n/m2;"exemplaren per vierkante meter";X/L2;1;Aantal;251;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-c05c93bd-3add-4973-90aa-3740ae6f51d7;GJ;gigajoule;L2M/T2;1000000000;"SI afgeleide eenheid";332;"31 januari 2017 00:00:00";"1 januari 2100 00:00:00";
Id-5292774a-aea6-49a7-afd5-e5a0eaf76189;GJ/d;"gigajoule per dag";L2M/T3;11574.07407;"SI afgeleide eenheid";298;"22 juli 2015 00:00:00";"1 januari 2100 00:00:00";
Id-98dd716f-0a0e-4c71-9d0d-32999c609350;GJ/m3;"gigajoule per kubieke meter";L2M/L3T2;1000000000;"SI afgeleide eenheid";334;"31 januari 2017 00:00:00";"1 januari 2100 00:00:00";
Id-cf10e504-d336-4d95-a0d4-966314856a6a;GJ/s;"gigajoule per seconde";L2M/T3;1000000000;"SI afgeleide eenheid";299;"22 juli 2015 00:00:00";"1 januari 2100 00:00:00";
Id-83c7e255-a3c4-48a0-b83d-89714107afde;graad;graad;;;"SI niet-SI-eenheid";118;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-79ac43f0-0d41-4361-83c5-5ed0565e29d5;oC;"graad Celsius";O;1;"SI afgeleide eenheid";8;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-52587ee6-78fa-4d94-85a2-66f587e431ba;g;gram;M;0.001;"SI afgeleide eenheid";27;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-169bba2b-b168-4108-a2c8-949f74eb596a;g/d;"gram per dag";M/T;1.157407E-08;"SI afgeleide eenheid";181;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-b8d90301-55f2-4f80-b08c-df77abadd313;g/dl;"gram per deciliter";M/L3;10;"SI afgeleide eenheid";182;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-1ff42a83-3542-454e-8de6-f5be51f829e2;g/ie;"gram per inwoner equivalent";;;Overig;183;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-3a181edc-923d-475f-a327-6f4d9d0dc97a;g/a;"gram per jaar";M/T;;"SI afgeleide eenheid";180;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-b4720fd1-85ef-431f-bdac-9c6354b58659;g/kg;"gram per kilogram";M/M;0.001;"SI afgeleide eenheid";30;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-ecaac581-d21e-489d-a84a-0c5ac932c095;g/m3;"gram per kubieke meter";M/L3;0.001;"SI afgeleide eenheid";185;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-9d662280-34c3-40cd-8f07-9b081333f795;g/l;"gram per liter";M/L3;1;"SI afgeleide eenheid";33;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-ae52353e-6fea-4bbf-8235-55f7094ed508;g/mnd;"gram per maand";M/T;;"SI afgeleide eenheid";297;"22 juli 2015 00:00:00";"1 januari 2100 00:00:00";
Id-d3e00901-18d8-48c5-8fca-67859a1fc5c6;g/ml;"gram per milliliter";M/L3;1000;"SI afgeleide eenheid";34;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-7fdcee71-f0eb-4808-8661-95ad8721fc36;g/s;"gram per seconde";M/T;0.001;"SI afgeleide eenheid";186;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-e608b9ed-56cb-49ab-b8f0-d586c75a4332;g/m2;"gram per vierkante meter";M/L2;0.001;"SI afgeleide eenheid";184;"11 december 2012 00:00:00";"1 januari 2100 00:00:00";
Id-07c50735-0fb8-4d5f-8df3-aa10b1efdcff;ha;hectare;L2;10000;"SI niet-SI-eenheid";187;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-03d179aa-3e01-4035-ac47-4cd73e2d3b53;hl;hectoliter;L3;0.1;"SI niet-SI-eenheid";344;"24 januari 2020 00:00:00";"1 januari 2100 00:00:00";
Id-f525d5f3-13f8-457c-b2ac-464f980e4a9d;hPa;hectopascal;M/LT2;100;"SI afgeleide eenheid";36;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-109ba9a4-b725-4400-b7e0-84a56ec5a484;Hz;hertz;/T;1;"SI afgeleide eenheid";188;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-de23f838-741b-48b4-acdc-576e9b8c9a1c;ie;"inwoner equivalent";;;Overig;189;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-ddb71aee-6024-41e3-b793-dbead1e4a574;a;jaar;T;;"SI niet-SI-eenheid";137;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
Id-f44b450a-08ed-48f0-9da0-277286fbb4aa;J;joule;L2M/T2;1;"SI afgeleide eenheid";190;"10 juni 2011 00:00:00";"1 januari 2100 00:00:00";
