fewsid;Code;Omschrijving;CASnummer;Groep;Id;Begin geldigheid;Eind geldigheid
1;AANTFTE;Aantalfractie;NVT;Grootheid;5612;16 juni 2016;1 januari 2100
2;AANTL;Aantal;NVT;Grootheid;2918;10 mei 2014;1 januari 2100
3;AANTPLTE;Aantal per lengte;NVT;Grootheid;5330;3 oktober 2015;1 januari 2100
4;AANTPMSA;Aantal per massa;NVT;Grootheid;5890;17 februari 2018;1 januari 2100
5;AANTPOPVTE;Aantal per oppervlakte;NVT;Grootheid;2922;10 mei 2014;1 januari 2100
6;AANTPTD;Aantal per tijd;NVT;Grootheid;6367;21 april 2020;1 januari 2100
7;AANTPVLME;Aantal per volume;NVT;Grootheid;2929;10 mei 2014;1 januari 2100
8;AANWZHD;Aanwezigheid;NVT;Grootheid;2938;10 mei 2014;1 januari 2100
9;AANZSHD;Aanzuigsnelheid;NVT;Grootheid;4982;21 januari 2014;1 januari 2100
10;ACCMLTDR;Accumulatieduur;NVT;Grootheid;2976;10 mei 2014;1 januari 2100
11;ACDTT;Aciditeit;NVT;Grootheid;2977;10 mei 2014;1 januari 2100
12;ACTVTCCTTE;Activiteitsconcentratie;NVT;Grootheid;4983;21 januari 2014;1 januari 2100
13;AFGTSHPO4;Afgiftesnelheid fosfaat;NVT;Grootheid;3070;10 mei 2014;1 januari 2100
14;AFSDRDMT;Afscheidingsrendement;NVT;Grootheid;3076;10 mei 2014;1 januari 2100
15;AFVBRNRSG;Afvoerbare neerslag;NVT;Grootheid;6064;12 november 2019;1 januari 2100
16;AFWKG;Afwijking;NVT;Grootheid;3081;10 mei 2014;1 januari 2100
17;ALKLTT;Alkaliteit;NVT;Grootheid;278;10 mei 2014;1 januari 2100
18;AV10_H;Aantal vrijheidsgraden bij het variantiedichtheidspectrum;NVT;Grootheid;3115;23 oktober 2014;1 januari 2100
19;AV10_R;Aantal vrijheidsgraden behorend bij het golfrichtingspectrum;NVT;Grootheid;5148;23 oktober 2014;1 januari 2100
20;BEDKG;Bedekking;NVT;Grootheid;3141;10 mei 2014;1 januari 2100
21;BELTG;Belasting;NVT;Grootheid;5991;8 december 2018;1 januari 2100
22;BEMSRBTE;Bemonsteringsbreedte;NVT;Grootheid;3119;8 december 2018;1 januari 2100
23;BEMSRDR;Bemonsteringsduur;NVT;Grootheid;3121;8 december 2018;1 januari 2100
24;BEMSROPVK;Bemonsteringsoppervlak;NVT;Grootheid;3123;8 december 2018;1 januari 2100
25;BESBHD;Beschikbaarheid;NVT;Grootheid;5992;8 december 2018;1 januari 2100
26;BIOMSFTE;Biomassafractie;NVT;Grootheid;4988;21 januari 2014;1 januari 2100
27;BLOEIFQTE;Bloeifrequentie;NVT;Grootheid;5291;24 maart 2015;1 januari 2100
28;BODHTE;Bodemhoogte;NVT;Grootheid;3237;10 mei 2014;1 januari 2100
29;BREEDTE;Breedte;NVT;Grootheid;3238;10 mei 2014;1 januari 2100
30;BZV/NKj;Verhouding BZV/stikstof Kjeldahl;NVT;Grootheid;4632;10 mei 2014;1 januari 2100
31;BZV/Ptot;Verhouding BZV/fosfor totaal;NVT;Grootheid;4631;9 januari 2016;1 januari 2100
32;CAPCTT;Capaciteit;NVT;Grootheid;3239;8 juni 2011;1 januari 2100
33;CHLFa/FEOa;Verhouding chlorofyl-a/feofytine a;NVT;Grootheid;4649;8 juni 2011;1 januari 2100
34;CONCTTE;(massa)Concentratie;NVT;Grootheid;2720;8 juni 2011;1 januari 2100
35;CZV/BZV;Verhouding CZV/BZV;NVT;Grootheid;4650;8 juni 2011;1 januari 2100
36;CZV/NKj;Verhouding CZV/stikstof Kjeldahl;NVT;Grootheid;4661;8 juni 2011;1 januari 2100
37;CZV/Ntot;Verhouding CZV/stikstof totaal;NVT;Grootheid;4660;9 januari 2016;1 januari 2100
38;CZV/Ptot;Verhouding CZV/fosfor totaal;NVT;Grootheid;4652;9 januari 2016;1 januari 2100
39;Cl/GELDHD;Verhouding chloride/geleidendheid;NVT;Grootheid;4648;8 juni 2011;1 januari 2100
40;Czz_s;Golfvariantiedichtheidspectrum;NVT;Grootheid;5152;20 november 2014;1 januari 2100
41;DEBFTE;Debietfractie;NVT;Grootheid;5250;7 februari 2015;1 januari 2100
