fewsid;Id;Code;Omschrijving;Groep;Begin geldigheid;Eind geldigheid
1;720;105oC;t.o.v. 105 graden Celsius;HoedanigheidReferentieBasis;24 januari 2020 00:00:00;1 januari 2100 00:00:00
2;58;136gTZV;uitgedrukt in 136 g TZV;HoedanigheidEquivalent;10 juni 2011 00:00:00;1 januari 2100 00:00:00
3;59;136gTZVd;uitgedrukt in 136 g TZV / drooggewicht;HoedanigheidCombinatie;10 juni 2011 00:00:00;1 januari 2100 00:00:00
4;60;150gTZV;uitgedrukt in 150 g TZV;HoedanigheidEquivalent;10 juni 2011 00:00:00;1 januari 2100 00:00:00
5;61;180gTZV;uitgedrukt in 180 g TZV;HoedanigheidEquivalent;10 juni 2011 00:00:00;1 januari 2100 00:00:00
6;62;180gTZVd;uitgedrukt in 180 g TZV / drooggewicht;HoedanigheidCombinatie;10 juni 2011 00:00:00;1 januari 2100 00:00:00
7;63;18oC;t.o.v. 18 graden Celsius;HoedanigheidReferentieBasis;10 juni 2011 00:00:00;1 januari 2100 00:00:00
8;754;200um;uitgedrukt in 200 um eenheidslengte;HoedanigheidEquivalent;27 maart 2020 00:00:00;1 januari 2100 00:00:00
9;64;20oC;t.o.v. 20 graden Celsius;HoedanigheidReferentieBasis;10 juni 2011 00:00:00;1 januari 2100 00:00:00
10;65;20oCINSU;t.o.v. 20 graden Celsius / in situ gemeten;HoedanigheidCombinatie;10 juni 2011 00:00:00;1 januari 2100 00:00:00
11;66;22oC;t.o.v. 22 graden Celsius;HoedanigheidReferentieBasis;26 augustus 2011 00:00:00;1 januari 2100 00:00:00
12;67;25oC;t.o.v. 25 graden Celsius;HoedanigheidReferentieBasis;10 juni 2011 00:00:00;1 januari 2100 00:00:00
13;68;25oCINSU;t.o.v. 25 graden Celsius / in situ gemeten;HoedanigheidCombinatie;10 juni 2011 00:00:00;1 januari 2100 00:00:00
14;717;30oC;t.o.v. 30 graden Celsius;HoedanigheidReferentieBasis;24 januari 2020 00:00:00;1 januari 2100 00:00:00
15;69;36oC;t.o.v. 36 graden Celsius;HoedanigheidReferentieBasis;26 augustus 2011 00:00:00;1 januari 2100 00:00:00
16;609;37oC;t.o.v. 37 graden Celcius;HoedanigheidReferentieBasis;22 augustus 2015 00:00:00;1 januari 2100 00:00:00
17;718;44oC;t.o.v. 44 graden Celsius;HoedanigheidReferentieBasis;24 januari 2020 00:00:00;1 januari 2100 00:00:00
18;70;54gBZV;uitgedrukt in 54 g BZV;HoedanigheidEquivalent;10 juni 2011 00:00:00;1 januari 2100 00:00:00
19;71;54gBZVdg;uitgedrukt in 54 g BZV / drooggewicht;HoedanigheidCombinatie;10 juni 2011 00:00:00;1 januari 2100 00:00:00
20;492;550oC;t.o.v. 550 graden Celsius;HoedanigheidReferentieBasis;13 september 2014 00:00:00;1 januari 2100 00:00:00
21;719;90oC;t.o.v. 90 graden Celsius;HoedanigheidReferentieBasis;24 januari 2020 00:00:00;1 januari 2100 00:00:00
22;73;ASTNMH;t.o.v. astronomisch getij;ReferentieVlak;10 juni 2011 00:00:00;1 januari 2100 00:00:00
23;610;As;uitgedrukt in arseen;HoedanigheidEquivalent;21 januari 2016 00:00:00;1 januari 2100 00:00:00
24;75;BODM;t.o.v. de bodem;ReferentieVlak;10 juni 2011 00:00:00;1 januari 2100 00:00:00
25;76;BOORVLR;t.o.v. boorvloer;ReferentieVlak;10 juni 2011 00:00:00;1 januari 2100 00:00:00
26;80;BZVdg;uitgedrukt in BZV / drooggewicht;HoedanigheidCombinatie;10 juni 2011 00:00:00;1 januari 2100 00:00:00
