fewsid;Id;Code;Omschrijving;Groep;Begin geldigheid;Eind geldigheid
1;0;00;Normale waarde;Normaal;11 juni 2011 00:00:00;1 januari 2100 00:00:00
2;3;03;Waarde heeft een grotere spreiding dan beschreven;Afwijkend;11 juni 2011 00:00:00;1 januari 2100 00:00:00
3;4;04;Bepaald met hele detectiegrens;Detectiegrens;11 juni 2011 00:00:00;1 januari 2100 00:00:00
4;5;05;Bepaald met halve detectiegrens;Detectiegrens;11 juni 2011 00:00:00;1 januari 2100 00:00:00
5;6;06;Bepaald met nul waarde voor detectiegrens;Detectiegrens;11 juni 2011 00:00:00;1 januari 2100 00:00:00
6;7;07;Waarde is verhoogde rapportagegrens;Detectiegrens;11 juni 2011 00:00:00;1 januari 2100 00:00:00
7;10;10;In de ruimte geïnterpoleerde waarde;Interpolatie;11 juni 2011 00:00:00;1 januari 2100 00:00:00
8;20;20;In de tijd geïnterpoleerde waarde;Interpolatie;11 juni 2011 00:00:00;1 januari 2100 00:00:00
9;25;25;In ruimte en tijd geïnterpoleerde waarde;Interpolatie;11 juni 2011 00:00:00;1 januari 2100 00:00:00
10;30;30;Waarde beïnvloedt door ruimtelijke activiteiten;Afwijkend;11 juni 2011 00:00:00;1 januari 2100 00:00:00
11;50;50;Niet-plausibele waarde;Afwijkend;11 juni 2011 00:00:00;1 januari 2100 00:00:00
12;55;55;Gevlagde waarde, bepaald met halve detectiegrens;Afwijkend;11 september 2014 00:00:00;1 januari 2100 00:00:00
13;56;56;Gevlagde waarde, bepaald met nul waarde voor detectiegrens;Afwijkend;21 augustus 2014 00:00:00;1 januari 2100 00:00:00
14;61;61;Gecorrigeerde waarde op basis van systematische fout;Interpolatie;7 december 2016 00:00:00;1 januari 2100 00:00:00
15;70;70;Afgekeurde waarde op basis van trendgedrag;Interpolatie;7 december 2016 00:00:00;1 januari 2100 00:00:00
16;71;71;Afgekeurde waarde op basis van harde grenzen;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
17;72;72;Afgekeurde waarde op basis van ionenbalans;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
18;73;73;Afgekeurde waarde op basis van springerigheid;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
19;74;74;Afgekeurde waarde op basis van levendigheid;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
20;75;75;Afgekeurde waarde op basis van uitbijter;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
21;76;76;Afgekeurde waarde o.b.v. correlatie tussen meetlocaties;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
22;77;77;Afgekeurde waarde op basis van correlatie tussen parameters;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
23;78;78;Afgekeurde waarde opgeloste parameter is hoger dan totaal;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
24;79;79;Afgekeurde waarde agv rapportage lager dan rapportagegrens;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
25;80;80;Afgekeurde waarde op basis van trendbreuk;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
26;81;81;Afgekeurde waarde op basis van controlemeting;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
27;82;82;Afgekeurde waarde op basis van waterbalans;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
28;83;83;Afwijkende waarde als gevolg van buiten meetbereik;Normaal;7 december 2016 00:00:00;1 januari 2100 00:00:00
29;84;84;Afwijkende waarde als gevolg van foutieve nulpunt;Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
30;90;90;Afwijkende waarde na validatie goedgekeurd;Normaal;7 december 2016 00:00:00;1 januari 2100 00:00:00
31;91;91;Afwijkende waarde i.v.m. extreme situatie (calamiteit);Afwijkend;7 december 2016 00:00:00;1 januari 2100 00:00:00
32;98;98;Waarde bepaald op onvolledige basis;Afwijkend;11 juni 2011 00:00:00;1 januari 2100 00:00:00
33;99;99;Hiaat waarde;Afwijkend;11 juni 2011 00:00:00;1 januari 2100 00:00:00
