fewsid;Id;Code;Omschrijving;Groep;Opgericht_in;Opgeheven_per;Begin geldigheid;Eind geldigheid
1;17;1;ACMAA;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
2;1;10;De Ruiter Boringen en Bemalingen;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
3;100;100;Eurofins Frankrijk;;;;5 mei 2020 00:00:00;1 januari 2100 00:00:00
4;101;101;Vlaamse Milieumaatschappij;;21/12/1990;;1 september 2020;1 januari 2100
5;21;11;Envirocontrol;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
6;18;12;Envirolab;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
7;6;13;GCML;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
8;3;14;Heinrici milieulaboratorium;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
9;20;15;IWACO milieulaboratorium;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
10;9;17;Oranjewoud;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
11;4;18;Pro Analyse;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
12;49;19;SGS INTRON;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
13;7;2;SYNLAB Analytics & Services B.V.;;;;5 juli 2021;1 januari 2100
14;10;20;Tjaden;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
15;11;21;Witteveen + Bos;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
16;47;22;Koeman en Bijkerk;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
17;12;3;AL-West;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
18;37;30;AQUON-Boxtel;;;;26 april 2012 00:00:00;1 januari 2100 00:00:00
19;38;31;AQUON-Breda;;;;26 april 2012 00:00:00;1 januari 2100 00:00:00
20;39;32;AQUON-Leiden;;;;26 april 2012 00:00:00;1 januari 2100 00:00:00
21;40;33;AQUON-Rotterdam;;;;26 april 2012 00:00:00;1 januari 2100 00:00:00
22;41;34;AQUON-Tiel;;;;26 april 2012 00:00:00;1 januari 2100 00:00:00
23;45;35;Intertek-Geleen;;;;25 juli 2012 00:00:00;1 januari 2100 00:00:00
24;28;36;Waterproef;;;;6 september 2012 00:00:00;1 januari 2100 00:00:00
25;50;37;Triskelion;;;;9 oktober 2012 00:00:00;1 januari 2100 00:00:00
26;42;38;BLGG-AGRIQ;;;;9 oktober 2012 00:00:00;1 januari 2100 00:00:00
27;35;39;Aqualab;;;;13 oktober 2012 00:00:00;1 januari 2100 00:00:00
28;13;4;Eurofins Analytico;;;;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
