fewsid;Code;Omschrijving;CASnummer;Groep;Id;Begin geldigheid;Eind geldigheid
1;1011DHcbmzpn;10,11-dihydroxycarbamazepine;3564-73-6;ChemischeStof;6373;12 juni 2020 00:00:00;1 januari 2100 00:00:00
2;1011cDolcarb;10,11-cisdiol carbamazepine;35079-97-1;ChemischeStof;6069;31 december 2019 00:00:00;1 januari 2100 00:00:00
3;1112T4ClC2a;1,1,1,2-tetrachloorethaan;630-20-6;ChemischeStof;3;8 juni 2011 00:00:00;1 januari 2100 00:00:00
4;111TClC2a;1,1,1-trichloorethaan;71-55-6;ChemischeStof;4;8 juni 2011 00:00:00;1 januari 2100 00:00:00
5;111TClTol;1,1,1-trichloortolueen;98-07-7;ChemischeStof;2800;28 januari 2014 00:00:00;1 januari 2100 00:00:00
6;1122T4ClC2a;1,1,2,2-tetrachloorethaan;79-34-5;ChemischeStof;5;8 juni 2011 00:00:00;1 januari 2100 00:00:00
7;112TClC2a;1,1,2-trichloorethaan;79-00-5;ChemischeStof;6;8 juni 2011 00:00:00;1 januari 2100 00:00:00
8;112TClC3a;1,1,2-trichloorpropaan;598-77-6;ChemischeStof;2801;28 januari 2014 00:00:00;1 januari 2100 00:00:00
9;11ClPF3OUdS;11-chlooreicosafluor-3-oxaundecaan-1-sulfonzuur;763051-92-9;ChemischeStof;6045;27 september 2019 00:00:00;1 januari 2100 00:00:00
10;11DBrC2a;1,1-dibroomethaan;557-91-5;ChemischeStof;2802;28 januari 2014 00:00:00;1 januari 2100 00:00:00
11;11DC1yC2y2C1;1,1-dimethylethyl-2-methoxyfenol;53894-31-8;ChemischeStof;4941;21 januari 2014 00:00:00;1 januari 2100 00:00:00
12;11DC1yhdzne;1,1-dimethylhydrazine;57-14-7;ChemischeStof;2803;28 januari 2014 00:00:00;1 januari 2100 00:00:00
13;11DClC2a;1,1-dichloorethaan;75-34-3;ChemischeStof;8;8 juni 2011 00:00:00;1 januari 2100 00:00:00
14;11DClC2e;1,1-dichlooretheen;75-35-4;ChemischeStof;9;8 juni 2011 00:00:00;1 januari 2100 00:00:00
15;11DClC3a;1,1-dichloorpropaan;78-99-9;ChemischeStof;10;8 juni 2011 00:00:00;1 januari 2100 00:00:00
16;11DClC3e;1,1-dichloorpropeen;563-58-6;ChemischeStof;2066;8 juni 2011 00:00:00;1 januari 2100 00:00:00
