fewsid;Id;Code;Omschrijving;Groep;Titel;Begin geldigheid;Eind geldigheid
1;1049;AP04GVIII.16;Accreditatieprogramma04-SG.VIII_v12_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
2;1050;AP04SB.II.16;Accreditatieprogramma04-SB.II_v9_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
3;1048;AP04SB.IV.16;Accreditatieprogramma04-SB.IV_v9_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
4;1052;AP04SB.V.16;Accreditatieprogramma04-SB.V_v9_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
5;1046;AP04SB.XI.16;Accreditatieprogramma04-SB.XI_v9_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
6;1045;AP04SG.I.16;Accreditatieprogramma04-SG.I_v12_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
7;1047;AP04SG.X.16;Accreditatieprogramma04-SG.X_v12_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
8;1051;AP04SG.XI.16;Accreditatieprogramma04-SG.XI_v12_20160623;Voorschrift;;18 februari 2020 00:00:00;1 januari 2100 00:00:00
9;330;AQUOKIT;Met Aquo-kit berekend oordeel of toetsresultaat;Methodiek;;5 november 2013 00:00:00;1 januari 2100 00:00:00
10;331;AUTOMATISCH;Niet genormaliseerde automatische waardebepaling;Algemeen niet-genormaliseerd;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
11;332;BLAUWAP:2010;Blauwalgenprotocol 2010;Voorschrift vervallen;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
12;333;BLAUWAP:2011;Blauwalgenprotocol 2011;Voorschrift vervallen;;7 juli 2012 00:00:00;1 januari 2100 00:00:00
13;334;BLAUWAP:2012;Blauwalgenprotocol 2012;Voorschrift;;18 mei 2021;1 januari 2100
14;335;CIW;Bepaling klasse (1-5) volgens CIW-methodiek;Methodiek;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
15;233;CMA2IC7.15;CMA/2/I/C.7 september 2015;Norm bodem-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
16;266;CMA2IIA10.12;CMA/2/II/A.10 september 2012;Norm bodem-fysisch;;30 juli 2019 00:00:00;1 januari 2100 00:00:00
17;323;CMA2IIA4.13;CMA/2/II/A.4 juni 2013;Norm bodem-fysisch;;30 juli 2019 00:00:00;1 januari 2100 00:00:00
18;293;D1485.96;DIN EN 1485:1996-11;Norm vervallen;;1 april 2017 00:00:00;1 januari 2100 00:00:00
19;285;D38404-6.84;DIN 38404-6:1984-05;Norm bodem/water-fysisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
20;286;D38405-26.89;DIN 38405-26:1989-04;Norm bodem/water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
21;287;D38405-27.92;DIN 38405-27:1992-07;Norm bodem/water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
22;288;D38406-29.99;DIN 38406-29:1999-05;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
23;295;D38407-30.07;DIN 38407-30:2007-12;Norm water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
24;1011;D38407-42.11;DIN 38407-42:2011-03;Norm water-chemisch;;8 december 2017 00:00:00;1 januari 2100 00:00:00
25;223;D38409-23.10;DIN 38409-23:2010-12;Norm bodem/water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
26;289;D38412-16.85;DIN 38412-16:1985-12;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
27;122;D38414-4.84;DIN 38414-4:1984-10;Norm bodem-fysisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
28;321;D4030-2.08;DIN 4030-2:2008-06;Norm bodem/water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
29;290;D51577-1.82;DIN 51577-1:1982-11;Norm vervallen;;1 april 2017 00:00:00;1 januari 2100 00:00:00
30;336;DESK;Bepaling klasse door deskundige;Methodiek;;1 augustus 2014 00:00:00;1 januari 2100 00:00:00
31;337;EBEO;Bepaling waarde / EBEO-klasse (1-5) volgens EBEO-systematiek;Methodiek;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
32;199;EIGENMETHODE;Eigen methode;Voorschrift;;10 april 2020 00:00:00;1 januari 2100 00:00:00
33;322;EPA8270CD;US EPA Method 8270D/8270C;Norm bodem/water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
34;338;GWPROTEU.13;Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 EU;Methodiek;;5 november 2013 00:00:00;1 januari 2100 00:00:00
35;339;GWPROTNL.13;Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 NL;Methodiek;;5 november 2013 00:00:00;1 januari 2100 00:00:00
36;340;HH-W10B:2010;HH-10B Analyse van zoöplankton voor EBeo;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
37;341;HH-W11A:2010;HH-11A Inventarisatie van vegetatie;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
38;342;HH-W12B:2010;HH-12B Analyse van macrofauna;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
39;343;HH-W13A:2010;HH-13A Bestandsopname van vis voor de KRW;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
40;344;HH-W7B:2010;HH-7B Analyse van fytoplankton in oppervlaktewater;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
41;345;HH-W8B:2010;HH-8B Analyse van sieralgen in opp.w. met een omkeermicrosc.;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
42;346;HH-W8C:2010;HH-8C Analyse van sieralgen in opp.w. met staande microsc.;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
43;347;HH-W9B:2010;HH-9B Analyse van kiezelwieren in oppervlaktewater;Voorschrift;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
44;348;I10048.91;ISO 10048:1991 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
45;349;I10229.94;ISO 10229:1994 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
46;350;I10253.06;NEN-EN-ISO 10253:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
47;351;I10260.92;ISO 10260:1992 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
48;55;I10301.97;NEN-EN-ISO 10301:1997 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
49;56;I10304-1.09;NEN-EN-ISO 10304-1:2009 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
50;354;I10304-1.95;NEN-EN-ISO 10304-1:1995 en;Norm vervallen;;6 december 2011 00:00:00;1 januari 2100 00:00:00
51;57;I10304-2.96;NEN-EN-ISO 10304-2:1996 en;Norm vervallen;;19 november 2015 00:00:00;1 januari 2100 00:00:00
