fewsid;Id;Codes;Omschrijving;Parameter;Eenheid;Hoedanigheid;Compartiment;Begin geldigheid;Eind geldigheid;Status;Guid;Grootheid;Typering;ChemischeStofObject
1;1;WNS1;[] [MASSFTE] [111TClC2a] [mg/kg] [dg] [BS];111TClC2a;milligram per kilogram;t.o.v. drooggewicht;Bodem/Sediment;2011-06-11;2100-01-01;G;Id-d47549fc-f0cd-4280-ab7b-009a13d8b289;Massafractie;;1,1,1-trichloorethaan
2;2;WNS10;[] [MASSFTE] [11DClC2a] [mg/kg] [dg] [ZB];11DClC2a;milligram per kilogram;t.o.v. drooggewicht;Zuiveringsslib;2011-06-11;2100-01-01;G;Id-693d2609-5705-4d1d-afd4-82531efa3c98;Massafractie;;1,1-dichloorethaan
3;3;WNS100;[] [CONCTTE] [14xyln] [ug/l] [NVT] [AW];14xyln;microgram per liter;Niet van toepassing;Afvalwater;2011-06-11;2100-01-01;G;Id-7ec3d124-c482-4f7e-aa1a-56dcc6fc0c05;(massa)Concentratie;;1,4-xyleen
4;4;WNS10000;[] [MASSFTE] [PBDE51] [mg/kg] [dg] [BS];PBDE51;milligram per kilogram;t.o.v. drooggewicht;Bodem/Sediment;2013-09-07;2100-01-01;G;Id-de701b88-964d-40fa-98af-6365ce2fcd9e;Massafractie;;2,2',4,6'-tetrabroomdifenylether
5;5;WNS10001;[] [MASSFTE] [PBDE75] [mg/kg] [dg] [BS];PBDE75;milligram per kilogram;t.o.v. drooggewicht;Bodem/Sediment;2013-09-07;2100-01-01;G;Id-ef6d6614-eecf-4142-ae0c-18b541690728;Massafractie;;2,4,4',6-tetrabroomdifenylether
6;6;WNS10002;[] [MASSFTE] [Ca] [g/kg] [dg] [ZB];Ca;gram per kilogram;t.o.v. drooggewicht;Zuiveringsslib;2013-10-17;2100-01-01;G;Id-33abb0e7-ae29-4e1b-9b88-67159cc1e7db;Massafractie;;calcium
7;7;WNS10003;[] [MASSFTE] [Mg] [g/kg] [dg] [ZB];Mg;gram per kilogram;t.o.v. drooggewicht;Zuiveringsslib;2013-10-17;2100-01-01;G;Id-55ff6418-aa6a-498d-93c5-b7fdbab91b0b;Massafractie;;magnesium
8;8;WNS10004;[] [CONCTTE] [minrlole] [ug/l] [C06C08] [AW];minrlole;microgram per liter;koolwaterstoffractie C6-C8;Afvalwater;2013-10-17;2100-01-01;G;Id-7c30a1ce-4fa9-4f54-ae13-b2d532e47f9f;(massa)Concentratie;;minerale olie
9;9;WNS10005;[] [CONCTTE] [minrlole] [ug/l] [C08C10] [AW];minrlole;microgram per liter;koolwaterstoffractie C8-C10;Afvalwater;2013-10-17;2100-01-01;G;Id-835e25aa-9e10-4277-b72d-ba08881be053;(massa)Concentratie;;minerale olie
10;10;WNS10006;[] [AANTPVLME] [DIATMN] [n/ml] [NVT] [OW];DIATMN;exemplaren per milliliter;Niet van toepassing;Oppervlaktewater;2013-10-17;2100-01-01;G;Id-663a02a7-5644-4e40-a96f-5702d2000573;Aantal per volume;;Diatomeeen
11;11;WNS10007;[] [CONCTTE] [NNDC1y1C12aA] [ug/l] [NVT] [AW];NNDC1y1C12aA;microgram per liter;Niet van toepassing;Afvalwater;2013-10-19;2100-01-01;G;Id-1ea28f4b-c147-4f36-9a04-e191e41a977e;(massa)Concentratie;;N,N-dimethyl-1-dodecaanamine
12;12;WNS10008;[] [MASSFTE] [Fe] [mg/kg] [NVT] [CH];Fe;milligram per kilogram;Niet van toepassing;Chemische hulpstoffen;2013-10-19;2100-01-01;G;Id-fb20010e-7dff-4231-9bf6-465c5d343516;Massafractie;;ijzer
13;13;WNS10009;[] [CONCTTE] [2C1oxC2ol] [mg/l] [NVT] [AW];2C1oxC2ol;milligram per liter;Niet van toepassing;Afvalwater;2013-10-19;2100-01-01;G;Id-96ccff6f-47c5-4bc2-a5d2-08a8896199dc;(massa)Concentratie;;2-methoxyethanol
14;14;WNS1001;[] [MASSFTE] [C2yactt] [mg/kg] [dg] [ZB];C2yactt;milligram per kilogram;t.o.v. drooggewicht;Zuiveringsslib;2011-06-11;2100-01-01;G;Id-167027c6-1726-4262-9dca-0ee244ed0e7d;Massafractie;;ethylacetaat
15;15;WNS10010;[] [CONCTTE] [ipropxC2ol] [mg/l] [NVT] [AW];ipropxC2ol;milligram per liter;Niet van toepassing;Afvalwater;2013-10-19;2100-01-01;G;Id-0eebe699-cec4-4f56-98d6-a321688768c2;(massa)Concentratie;;isopropoxyethanol
16;16;WNS10011;[] [CONCTTE] [2C4oxC2ol] [mg/l] [NVT] [AW];2C4oxC2ol;milligram per liter;Niet van toepassing;Afvalwater;2013-10-19;2100-01-01;G;Id-b2bcc309-dd49-4f06-a5da-44fafd77998f;(massa)Concentratie;;2-butoxyethanol
17;17;WNS10012;[] [CONCTTE] [22C4oxC2oxC2] [mg/l] [NVT] [AW];22C4oxC2oxC2;milligram per liter;Niet van toepassing;Afvalwater;2013-10-19;2100-01-01;G;Id-48eb0edf-b5f9-4f2c-8c3d-625dd2c516de;(massa)Concentratie;;2-(2-butoxyethoxy)ethanol
